time	V(n002)	V(n003)
4.000000054828125e-04	1.388982e+01	-7.417758e+00
4.000000065828125e-04	1.388989e+01	-7.401258e+00
4.000000087828125e-04	1.389001e+01	-7.368258e+00
4.000000131828125e-04	1.389026e+01	-7.302258e+00
4.000010000000000e-04	1.395677e+01	7.500000e+00
4.000010021328700e-04	1.395667e+01	7.500000e+00
4.000010026660875e-04	1.395665e+01	7.500000e+00
4.000010027993919e-04	1.395664e+01	7.500000e+00
4.000010028327180e-04	1.395664e+01	7.500000e+00
4.000010028993702e-04	1.395664e+01	7.500000e+00
4.000010029160332e-04	1.395664e+01	7.500000e+00
4.000010029493593e-04	1.395664e+01	7.500000e+00
4.000010029576908e-04	1.395664e+01	7.500000e+00
4.000010029743539e-04	1.395664e+01	7.500000e+00
4.000010030076800e-04	1.395664e+01	7.500000e+00
4.000010030743322e-04	1.395664e+01	7.500000e+00
4.000010037237478e-04	1.395663e+01	7.500000e+00
4.000020348418308e-04	1.395116e+01	7.500000e+00
4.000030659599137e-04	1.394422e+01	7.500000e+00
4.000040970779967e-04	1.393581e+01	7.500000e+00
4.000051281960797e-04	1.392592e+01	7.500000e+00
4.000061593141626e-04	1.391456e+01	7.500000e+00
4.000071904322456e-04	1.390172e+01	7.500000e+00
4.000082215503285e-04	1.388741e+01	7.500000e+00
4.000290928547401e-04	1.360559e+01	7.500000e+00
4.000569212606221e-04	1.331536e+01	7.500000e+00
4.000878984795967e-04	1.309187e+01	7.500000e+00
4.001169129621420e-04	1.295869e+01	7.500000e+00
4.001478784570553e-04	1.286821e+01	7.500000e+00
4.002095850404707e-04	1.277039e+01	7.500000e+00
4.002878842749886e-04	1.272477e+01	7.500000e+00
4.003661835095063e-04	1.268377e+01	7.500000e+00
4.004444827440242e-04	1.264740e+01	7.500000e+00
4.005227819785420e-04	1.261566e+01	7.500000e+00
4.006010812130599e-04	1.258854e+01	7.500000e+00
4.006793804475777e-04	1.256605e+01	7.500000e+00
4.007576796820955e-04	1.254819e+01	7.500000e+00
4.027861406524991e-04	1.189230e+01	7.500000e+00
4.048146016229027e-04	1.123739e+01	7.500000e+00
4.068430625933063e-04	1.058347e+01	7.500000e+00
4.088715235637099e-04	9.930529e+00	7.500000e+00
4.108999845341135e-04	9.278576e+00	7.500000e+00
4.129284455045171e-04	8.627609e+00	7.500000e+00
4.149569064749207e-04	7.977627e+00	7.500000e+00
4.178865939749208e-04	7.040983e+00	7.500000e+00
4.198397189749208e-04	6.415410e+00	7.500000e+00
4.217928439749208e-04	5.788964e+00	7.500000e+00
4.237459689749208e-04	5.161644e+00	7.500000e+00
4.256990939749208e-04	4.533450e+00	7.500000e+00
4.276522189749208e-04	3.904382e+00	7.500000e+00
4.296053439749208e-04	3.274441e+00	7.500000e+00
4.315584689749208e-04	2.643625e+00	7.500000e+00
4.351857011177779e-04	1.471784e+00	7.500000e+00
4.388129332606351e-04	2.996033e-01	7.500000e+00
4.424401654034922e-04	-8.729164e-01	7.500000e+00
4.460673975463494e-04	-2.045775e+00	7.500000e+00
4.496946296892065e-04	-3.218973e+00	7.500000e+00
4.533218618320636e-04	-4.392510e+00	7.500000e+00
4.569490939749208e-04	-5.566387e+00	7.500000e+00
4.813631564749208e-04	-1.346573e+01	7.500000e+00
4.823397189749208e-04	-1.373050e+01	7.500000e+00
4.833162814749208e-04	-1.386382e+01	7.500000e+00
4.842928439749208e-04	-1.388901e+01	7.500000e+00
5.000009999999999e-04	-1.388938e+01	7.500000e+00
5.000020000000000e-04	-1.395736e+01	-7.500000e+00
5.000021438486798e-04	-1.394773e+01	-7.500000e+00
5.000022876973595e-04	-1.392412e+01	-7.500000e+00
5.000024315460392e-04	-1.388652e+01	-7.500000e+00
5.000025753947189e-04	-1.383495e+01	-7.500000e+00
5.000027192433986e-04	-1.376940e+01	-7.500000e+00
5.000028630920783e-04	-1.368986e+01	-7.500000e+00
5.000030069407580e-04	-1.359634e+01	-7.500000e+00
5.000040069407580e-04	-1.328769e+01	-7.500000e+00
5.000050069407581e-04	-1.308360e+01	-7.500000e+00
5.000061322808844e-04	-1.299433e+01	-7.500000e+00
5.000061555707052e-04	-1.299612e+01	-7.500000e+00
5.000070006584879e-04	-1.312854e+01	-7.500000e+00
5.000078457462706e-04	-1.324562e+01	-7.500000e+00
5.000086908340533e-04	-1.334735e+01	-7.500000e+00
5.000095359218359e-04	-1.343374e+01	-7.500000e+00
5.000103810096187e-04	-1.350479e+01	-7.500000e+00
5.000112260974013e-04	-1.356049e+01	-7.500000e+00
5.000120711851840e-04	-1.360085e+01	-7.500000e+00
5.000180333793045e-04	-1.381733e+01	-7.500000e+00
5.000262222627877e-04	-1.392144e+01	-7.500000e+00
5.000521233413166e-04	-1.394690e+01	-7.500000e+00
5.001340488452919e-04	-1.392316e+01	-7.500000e+00
5.002238837239195e-04	-1.389357e+01	-7.500000e+00
5.004711958425628e-04	-1.381255e+01	-7.500000e+00
5.028455315740967e-04	-1.304390e+01	-7.500000e+00
5.052198673056305e-04	-1.227630e+01	-7.500000e+00
5.075942030371644e-04	-1.150974e+01	-7.500000e+00
5.099685387686982e-04	-1.074423e+01	-7.500000e+00
5.123428745002322e-04	-9.979761e+00	-7.500000e+00
5.147172102317660e-04	-9.216339e+00	-7.500000e+00
5.170915459632999e-04	-8.453962e+00	-7.500000e+00
5.200212334632999e-04	-7.516744e+00	-7.500000e+00
5.229509209632999e-04	-6.579733e+00	-7.500000e+00
5.254620816775856e-04	-5.773652e+00	-7.500000e+00
5.279732423918713e-04	-4.966571e+00	-7.500000e+00
5.304844031061570e-04	-4.158492e+00	-7.500000e+00
5.329955638204428e-04	-3.349415e+00	-7.500000e+00
5.355067245347285e-04	-2.539339e+00	-7.500000e+00
5.380178852490142e-04	-1.728265e+00	-7.500000e+00
5.405290459632999e-04	-9.161927e-01	-7.500000e+00
5.429006977490142e-04	-1.495347e-01	-7.500000e+00
5.452723495347285e-04	6.172428e-01	-7.500000e+00
5.476440013204428e-04	1.384140e+00	-7.500000e+00
5.500156531061570e-04	2.151157e+00	-7.500000e+00
5.523873048918713e-04	2.918293e+00	-7.500000e+00
5.547589566775856e-04	3.685549e+00	-7.500000e+00
5.571306084632999e-04	4.452925e+00	-7.500000e+00
5.854509209632999e-04	1.360016e+01	-7.500000e+00
5.864274834632999e-04	1.381196e+01	-7.500000e+00
5.874040459632999e-04	1.388592e+01	-7.500000e+00
5.999999999999999e-04	1.388938e+01	-7.500000e+00
6.000000044515624e-04	1.388975e+01	-7.433227e+00
6.000000046578125e-04	1.388976e+01	-7.430133e+00
6.000000049328125e-04	1.388978e+01	-7.426008e+00
6.000000054828125e-04	1.388982e+01	-7.417758e+00
6.000000065828125e-04	1.388989e+01	-7.401258e+00
6.000000087828124e-04	1.389001e+01	-7.368258e+00
6.000000131828124e-04	1.389026e+01	-7.302258e+00
6.000010000000000e-04	1.395677e+01	7.500000e+00
6.000010021327371e-04	1.395667e+01	7.500000e+00
6.000010026659214e-04	1.395665e+01	7.500000e+00
6.000010027992174e-04	1.395664e+01	7.500000e+00
6.000010028325415e-04	1.395664e+01	7.500000e+00
6.000010028991895e-04	1.395664e+01	7.500000e+00
6.000010029158516e-04	1.395664e+01	7.500000e+00
6.000010029491756e-04	1.395664e+01	7.500000e+00
6.000010029575066e-04	1.395664e+01	7.500000e+00
6.000010029741686e-04	1.395664e+01	7.500000e+00
6.000010030074927e-04	1.395664e+01	7.500000e+00
6.000010030741407e-04	1.395664e+01	7.500000e+00
6.000015373491908e-04	1.395423e+01	7.500000e+00
6.000020716242409e-04	1.395132e+01	7.500000e+00
6.000026058992910e-04	1.394791e+01	7.500000e+00
6.000031401743411e-04	1.394401e+01	7.500000e+00
6.000036744493912e-04	1.393960e+01	7.500000e+00
6.000042087244413e-04	1.393470e+01	7.500000e+00
6.000047429994914e-04	1.392930e+01	7.500000e+00
6.000290928546337e-04	1.360559e+01	7.500000e+00
6.000569212605107e-04	1.331536e+01	7.500000e+00
6.000878984794753e-04	1.309187e+01	7.500000e+00
6.001169129620046e-04	1.295869e+01	7.500000e+00
6.001478784569055e-04	1.286821e+01	7.500000e+00
6.002095850402573e-04	1.277039e+01	7.500000e+00
6.002878842739288e-04	1.272477e+01	7.500000e+00
6.003661835076004e-04	1.268377e+01	7.500000e+00
6.004444827412719e-04	1.264740e+01	7.500000e+00
6.005227819749435e-04	1.261566e+01	7.500000e+00
6.006010812086150e-04	1.258854e+01	7.500000e+00
6.006793804422865e-04	1.256605e+01	7.500000e+00
6.007576796759580e-04	1.254819e+01	7.500000e+00
6.027861406389279e-04	1.189230e+01	7.500000e+00
6.048146016018978e-04	1.123739e+01	7.500000e+00
6.068430625648677e-04	1.058347e+01	7.500000e+00
6.088715235278375e-04	9.930529e+00	7.500000e+00
6.108999844908074e-04	9.278576e+00	7.500000e+00
6.129284454537773e-04	8.627609e+00	7.500000e+00
