Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,-8e-07,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,10
Vertical Position,-0.04,-0.06
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.8676e-04,7.48281,6.40156
-1.8672e-04,7.5375,6.39844
-1.8668e-04,7.55234,6.32656
-1.8664e-04,7.50781,6.32656
-1.8660e-04,7.51875,6.34375
-1.8656e-04,7.47422,6.21719
-1.8652e-04,7.52344,6.22344
-1.8648e-04,7.5,6.24844
-1.8644e-04,7.54297,6.22813
-1.8640e-04,7.53984,6.20937
-1.8636e-04,7.51094,6.2125
-1.8632e-04,7.51875,6.14219
-1.8628e-04,7.48984,6.10156
-1.8624e-04,7.50625,6.15781
-1.8620e-04,7.5375,6.075
-1.8616e-04,7.50313,5.97656
-1.8612e-04,7.52969,5.91094
-1.8608e-04,7.50391,5.95312
-1.8604e-04,7.5375,5.90313
-1.8600e-04,7.53359,5.87656
-1.8596e-04,7.52422,5.93438
-1.8592e-04,7.53125,5.75
-1.8588e-04,7.54063,5.82344
-1.8584e-04,7.49531,5.82188
-1.8580e-04,7.49688,5.81563
-1.8576e-04,7.52578,5.76875
-1.8572e-04,7.50469,5.71094
-1.8568e-04,7.47422,5.81406
-1.8564e-04,7.53359,5.70625
-1.8560e-04,7.54141,5.72188
-1.8556e-04,7.53516,5.65156
-1.8552e-04,7.53984,5.57031
-1.8548e-04,7.51953,5.61875
-1.8544e-04,7.45,5.64531
-1.8540e-04,7.49063,5.6125
-1.8536e-04,7.51406,5.49375
-1.8532e-04,7.49922,5.60938
-1.8528e-04,7.51719,5.51719
-1.8524e-04,7.53203,5.47656
-1.8520e-04,7.52734,5.46719
-1.8516e-04,7.47969,5.47969
-1.8512e-04,7.52578,5.36875
-1.8508e-04,7.49766,5.43438
-1.8504e-04,7.51953,5.32656
-1.8500e-04,7.49609,5.36094
-1.8496e-04,7.48438,5.36719
-1.8492e-04,7.48828,5.3375
-1.8488e-04,7.55,5.28281
-1.8484e-04,7.50625,5.29375
-1.8480e-04,7.51797,5.20781
-1.8476e-04,7.53281,5.22969
-1.8472e-04,7.51172,5.21719
-1.8468e-04,7.49531,5.1875
-1.8464e-04,7.52969,5.175
-1.8460e-04,7.48281,5.05312
-1.8456e-04,7.48984,5.07969
-1.8452e-04,7.50234,5.15156
-1.8448e-04,7.525,5.04688
-1.8444e-04,7.51016,4.97344
-1.8440e-04,7.49688,4.99531
-1.8436e-04,7.50234,4.95
-1.8432e-04,7.46172,4.96406
-1.8428e-04,7.48125,4.88125
-1.8424e-04,7.47656,4.85625
-1.8420e-04,7.48281,4.84844
-1.8416e-04,7.47891,4.80625
-1.8412e-04,7.48672,4.82812
-1.8408e-04,7.44141,4.82188
-1.8404e-04,7.50234,4.71563
-1.8400e-04,7.45938,4.65
-1.8396e-04,7.48125,4.7
-1.8392e-04,7.49375,4.68281
-1.8388e-04,7.47266,4.64375
-1.8384e-04,7.49531,4.60938
-1.8380e-04,7.49844,4.6625
-1.8376e-04,7.46953,4.61094
-1.8372e-04,7.46016,4.52969
-1.8368e-04,7.50938,4.53438
-1.8364e-04,7.49844,4.39844
-1.8360e-04,7.48906,4.4875
-1.8356e-04,7.50938,4.425
-1.8352e-04,7.47578,4.47188
-1.8348e-04,7.50703,4.4
-1.8344e-04,7.46094,4.38906
-1.8340e-04,7.48359,4.25469
-1.8336e-04,7.51719,4.28281
-1.8332e-04,7.49063,4.27344
-1.8328e-04,7.48906,4.2375
-1.8324e-04,7.49688,4.20625
-1.8320e-04,7.51328,4.17656
-1.8316e-04,7.5375,4.20937
-1.8312e-04,7.48359,4.12969
-1.8308e-04,7.48359,4.12813
-1.8304e-04,7.48906,4.13594
-1.8300e-04,7.47578,4.13125
-1.8296e-04,7.47109,3.99219
-1.8292e-04,7.44375,4.05938
-1.8288e-04,7.47188,3.95313
-1.8284e-04,7.45,4.0125
-1.8280e-04,7.43672,3.99844
-1.8276e-04,7.48594,3.89844
-1.8272e-04,7.47813,3.96875
-1.8268e-04,7.48281,3.95625
-1.8264e-04,7.52813,3.82031
-1.8260e-04,7.46797,3.90156
-1.8256e-04,7.48828,3.77656
-1.8252e-04,7.45078,3.82813
-1.8248e-04,7.47344,3.74844
-1.8244e-04,7.43828,3.72813
-1.8240e-04,7.46719,3.71094
-1.8236e-04,7.48281,3.7625
-1.8232e-04,7.50234,3.7375
-1.8228e-04,7.47813,3.64063
-1.8224e-04,7.48984,3.64375
-1.8220e-04,7.50625,3.57344
-1.8216e-04,7.45391,3.63438
-1.8212e-04,7.4625,3.6375
-1.8208e-04,7.48359,3.54219
-1.8204e-04,7.45859,3.52656
-1.8200e-04,7.43594,3.41094
-1.8196e-04,7.47969,3.45313
-1.8192e-04,7.47578,3.42344
-1.8188e-04,7.48203,3.52031
-1.8184e-04,7.49141,3.31406
-1.8180e-04,7.43906,3.3875
-1.8176e-04,7.44766,3.31875
-1.8172e-04,7.48516,3.35156
-1.8168e-04,7.45703,3.27188
-1.8164e-04,7.46563,3.33438
-1.8160e-04,7.45859,3.2125
-1.8156e-04,7.49141,3.21563
-1.8152e-04,7.45234,3.19219
-1.8148e-04,7.48906,3.20156
-1.8144e-04,7.48828,3.12656
-1.8140e-04,7.45781,3.15
-1.8136e-04,7.44141,3.14844
-1.8132e-04,7.49063,3.13125
-1.8128e-04,7.50469,3.03125
-1.8124e-04,7.46094,3.16875
-1.8120e-04,7.49297,3.04688
-1.8116e-04,7.47188,3.05625
-1.8112e-04,7.46953,3.01563
-1.8108e-04,7.47031,2.92656
-1.8104e-04,7.46797,2.93281
-1.8100e-04,7.46094,2.94688
-1.8096e-04,7.45781,2.92188
-1.8092e-04,7.46719,2.87344
