time	V(vd)	V(vd)*Id(M1)	Id(M1)
7.371849999894228e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.474249999892718e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.576649999891208e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.679049999889697e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.781449999888187e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.883849999886677e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.986249999885167e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.088649999883657e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.191049999882146e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.293449999880636e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.395849999879126e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.498249999877616e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.600649999876106e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.703049999874596e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.805449999873085e-07	3.300000e+00	1.649891e-01	4.999671e-02
8.907849999871575e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.010249999870065e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.112649999868555e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.215049999867045e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.317449999865534e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.419849999864024e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.522249999862514e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.624649999861004e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.727049999859494e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.829449999857983e-07	3.300000e+00	1.649891e-01	4.999671e-02
9.931849999856473e-07	3.300000e+00	1.649891e-01	4.999671e-02
1.003424999985496e-06	3.300000e+00	1.649891e-01	4.999671e-02
1.013664999985345e-06	3.300000e+00	1.649891e-01	4.999671e-02
1.020000000000000e-06	3.300000e+00	1.649891e-01	4.999671e-02
1.020001000000000e-06	3.299835e+00	1.649809e-01	4.999673e-02
1.020003000000000e-06	3.299505e+00	1.649645e-01	4.999673e-02
1.020007000000000e-06	3.298845e+00	1.649315e-01	4.999673e-02
1.020015000000000e-06	3.297525e+00	1.648655e-01	4.999673e-02
1.020025000000000e-06	3.295875e+00	1.647830e-01	4.999672e-02
1.020034999999999e-06	3.294225e+00	1.647005e-01	4.999672e-02
1.020044999999999e-06	3.292575e+00	1.646179e-01	4.999672e-02
1.020054999999999e-06	3.290925e+00	1.645354e-01	4.999672e-02
1.020064999999999e-06	3.289275e+00	1.644529e-01	4.999672e-02
1.020074999999999e-06	3.287625e+00	1.643704e-01	4.999671e-02
1.020084999999999e-06	3.285975e+00	1.642879e-01	4.999671e-02
1.020094999999999e-06	3.284325e+00	1.642054e-01	4.999671e-02
1.020104999999998e-06	3.282675e+00	1.641229e-01	4.999670e-02
1.020114999999998e-06	3.281025e+00	1.640404e-01	4.999670e-02
1.020124999999998e-06	3.279375e+00	1.639579e-01	4.999670e-02
1.020134999999998e-06	3.277725e+00	1.638754e-01	4.999670e-02
1.020144999999998e-06	3.276075e+00	1.637929e-01	4.999669e-02
1.020154999999998e-06	3.274425e+00	1.637104e-01	4.999669e-02
1.020164999999998e-06	3.272775e+00	1.636279e-01	4.999669e-02
1.020174999999997e-06	3.271125e+00	1.635454e-01	4.999669e-02
1.020184999999997e-06	3.269475e+00	1.634629e-01	4.999669e-02
1.020259285714282e-06	3.257218e+00	1.628500e-01	4.999667e-02
1.020333571428566e-06	3.244961e+00	1.622372e-01	4.999665e-02
1.020407857142851e-06	3.232703e+00	1.616243e-01	4.999663e-02
1.020482142857136e-06	3.220446e+00	1.610114e-01	4.999661e-02
1.020556428571420e-06	3.208189e+00	1.603985e-01	4.999659e-02
1.020630714285705e-06	3.195932e+00	1.597857e-01	4.999657e-02
1.020704999999990e-06	3.183675e+00	1.591728e-01	4.999655e-02
1.021029285714271e-06	3.130168e+00	1.564973e-01	4.999647e-02
1.021353571428551e-06	3.076661e+00	1.538219e-01	4.999638e-02
1.021677857142832e-06	3.023154e+00	1.511464e-01	4.999628e-02
1.022002142857113e-06	2.969647e+00	1.484710e-01	4.999618e-02
1.022326428571394e-06	2.916139e+00	1.457955e-01	4.999607e-02
1.022650714285675e-06	2.862632e+00	1.431200e-01	4.999596e-02
1.022974999999956e-06	2.809125e+00	1.404446e-01	4.999584e-02
1.023102142857097e-06	2.788146e+00	1.393956e-01	4.999579e-02
1.023229285714238e-06	2.767168e+00	1.383466e-01	4.999574e-02
1.023356428571379e-06	2.746189e+00	1.372976e-01	4.999569e-02
1.023483571428520e-06	2.725211e+00	1.362486e-01	4.999564e-02
1.023610714285661e-06	2.704232e+00	1.351997e-01	4.999558e-02
1.023737857142802e-06	2.683254e+00	1.341507e-01	4.999553e-02
1.023864999999943e-06	2.662275e+00	1.331017e-01	4.999547e-02
1.023874999999943e-06	2.660625e+00	1.330192e-01	4.999547e-02
1.024143571428510e-06	2.616311e+00	1.308034e-01	4.999535e-02
1.024412142857078e-06	2.571997e+00	1.285875e-01	4.999522e-02
1.024680714285645e-06	2.527682e+00	1.263717e-01	4.999507e-02
1.024949285714213e-06	2.483368e+00	1.241558e-01	4.999493e-02
1.025217857142780e-06	2.439054e+00	1.219399e-01	4.999477e-02
1.025486428571348e-06	2.394739e+00	1.197240e-01	4.999460e-02
1.025754999999915e-06	2.350425e+00	1.175082e-01	4.999443e-02
1.025980714285626e-06	2.313182e+00	1.156459e-01	4.999427e-02
1.026206428571337e-06	2.275939e+00	1.137835e-01	4.999411e-02
1.026432142857048e-06	2.238696e+00	1.119212e-01	4.999393e-02
1.026657857142759e-06	2.201453e+00	1.100589e-01	4.999374e-02
1.026883571428470e-06	2.164211e+00	1.081965e-01	4.999354e-02
1.027109285714181e-06	2.126968e+00	1.063342e-01	4.999332e-02
1.027334999999892e-06	2.089725e+00	1.044718e-01	4.999309e-02
1.027520714285603e-06	2.059082e+00	1.029395e-01	4.999290e-02
1.027706428571315e-06	2.028439e+00	1.014071e-01	4.999269e-02
1.027892142857026e-06	1.997796e+00	9.987476e-02	4.999246e-02
