time	V(out)	V(vin)
1.812214285714525e-03	-7.865514e-02	1.924559e-01
1.815071428571669e-03	-6.669556e-02	1.917574e-01
1.817928571428812e-03	-5.473867e-02	1.910294e-01
1.820785714285955e-03	-4.278446e-02	1.902720e-01
1.823642857143098e-03	-3.083293e-02	1.894851e-01
1.826500000000242e-03	-1.888410e-02	1.886688e-01
1.829785714285956e-03	-5.159798e-03	1.876943e-01
1.833071428571671e-03	8.524681e-03	1.866836e-01
1.836357142857386e-03	2.216934e-02	1.856365e-01
1.839642857143100e-03	3.577418e-02	1.845533e-01
1.842928571428815e-03	4.933919e-02	1.834338e-01
1.846214285714530e-03	6.286438e-02	1.822780e-01
1.849500000000245e-03	7.634976e-02	1.810860e-01
1.859214285714532e-03	1.161077e-01	1.773240e-01
1.868928571428819e-03	1.549319e-01	1.733141e-01
1.878642857143106e-03	1.928224e-01	1.690562e-01
1.888357142857393e-03	2.297793e-01	1.645505e-01
1.898071428571680e-03	2.658026e-01	1.597969e-01
1.907785714285967e-03	3.008921e-01	1.547953e-01
1.917500000000254e-03	3.350480e-01	1.495459e-01
1.927071428571683e-03	3.673314e-01	1.441844e-01
1.936642857143113e-03	3.981076e-01	1.387137e-01
1.946214285714543e-03	4.273765e-01	1.331340e-01
1.955785714285973e-03	4.551382e-01	1.274451e-01
1.965357142857403e-03	4.813926e-01	1.216470e-01
1.974928571428833e-03	5.061397e-01	1.157399e-01
1.984500000000263e-03	5.293796e-01	1.097236e-01
1.991357142857406e-03	5.449117e-01	1.054078e-01
1.998214285714550e-03	5.595223e-01	1.011020e-01
2.005071428571694e-03	5.732114e-01	9.680610e-02
2.011928571428837e-03	5.859790e-01	9.252006e-02
2.018785714285981e-03	5.978251e-01	8.824391e-02
2.025642857143125e-03	6.087496e-01	8.397765e-02
2.032500000000269e-03	6.187527e-01	7.972127e-02
2.044500000000270e-03	6.338809e-01	7.240271e-02
2.056357142857415e-03	6.460103e-01	6.523517e-02
2.068214285714559e-03	6.550252e-01	5.835132e-02
2.080071428571704e-03	6.609254e-01	5.175116e-02
2.091928571428848e-03	6.637110e-01	4.543468e-02
2.103785714285993e-03	6.633819e-01	3.940189e-02
2.115642857143137e-03	6.599382e-01	3.365279e-02
2.127500000000282e-03	6.533799e-01	2.818737e-02
2.137214285714568e-03	6.454787e-01	2.404489e-02
2.146928571428855e-03	6.352904e-01	2.021745e-02
2.156642857143142e-03	6.228149e-01	1.670506e-02
2.166357142857430e-03	6.080523e-01	1.350772e-02
2.176071428571717e-03	5.910026e-01	1.062542e-02
2.185785714286004e-03	5.716658e-01	8.058174e-03
2.195500000000291e-03	5.500418e-01	5.805970e-03
2.207928571428863e-03	5.185755e-01	3.461219e-03
2.220357142857437e-03	4.838200e-01	1.720517e-03
2.232785714286010e-03	4.457753e-01	5.838618e-04
2.245214285714583e-03	4.044414e-01	5.125456e-05
2.257642857143156e-03	3.598183e-01	1.226950e-04
2.270071428571729e-03	3.119060e-01	7.981831e-04
2.282500000000302e-03	2.607045e-01	2.077719e-03
2.288214285714588e-03	2.364984e-01	2.872324e-03
2.293928571428875e-03	2.119265e-01	3.788704e-03
2.299642857143161e-03	1.869889e-01	4.826860e-03
2.305357142857448e-03	1.616856e-01	5.986792e-03
2.311071428571735e-03	1.360165e-01	7.268500e-03
2.316785714286021e-03	1.099817e-01	8.671983e-03
2.322500000000307e-03	8.358113e-02	1.019724e-02
2.324642857143165e-03	7.365521e-02	1.079799e-02
2.326785714286022e-03	6.370711e-02	1.141461e-02
2.328928571428880e-03	5.373684e-02	1.204712e-02
2.331071428571737e-03	4.374440e-02	1.269552e-02
2.333214285714594e-03	3.372978e-02	1.335979e-02
2.335357142857452e-03	2.369299e-02	1.403995e-02
2.337500000000309e-03	1.363402e-02	1.473598e-02
2.339928571428881e-03	2.215326e-03	1.554367e-02
2.342357142857453e-03	-9.208416e-03	1.637052e-02
2.344785714286025e-03	-2.063720e-02	1.721654e-02
2.347214285714596e-03	-3.207103e-02	1.808174e-02
2.349642857143168e-03	-4.350990e-02	1.896610e-02
2.352071428571740e-03	-5.495381e-02	1.986964e-02
2.354500000000312e-03	-6.640277e-02	2.079234e-02
2.362071428571741e-03	-1.022658e-01	2.380410e-02
2.369642857143171e-03	-1.376831e-01	2.696934e-02
2.377214285714600e-03	-1.726548e-01	3.028806e-02
2.384785714286030e-03	-2.071808e-01	3.376025e-02
2.392357142857460e-03	-2.412611e-01	3.738593e-02
2.399928571428889e-03	-2.748957e-01	4.116509e-02
2.407500000000319e-03	-3.080846e-01	4.509772e-02
2.417785714286034e-03	-3.520006e-01	5.067250e-02
2.428071428571750e-03	-3.937396e-01	5.639175e-02
2.438357142857466e-03	-4.333014e-01	6.225547e-02
2.448642857143181e-03	-4.706862e-01	6.826366e-02
2.458928571428897e-03	-5.058939e-01	7.441632e-02
2.469214285714613e-03	-5.389246e-01	8.071346e-02
2.479500000000328e-03	-5.697781e-01	8.715506e-02
2.487071428571758e-03	-5.905210e-01	9.191253e-02
2.494642857143187e-03	-6.096549e-01	9.666150e-02
2.502214285714617e-03	-6.271796e-01	1.014020e-01
2.509785714286047e-03	-6.430953e-01	1.061339e-01
2.517357142857476e-03	-6.574020e-01	1.108574e-01
2.524928571428906e-03	-6.700996e-01	1.155723e-01
2.532500000000335e-03	-6.811881e-01	1.202787e-01
2.544071428571765e-03	-6.946989e-01	1.274255e-01
2.555642857143195e-03	-7.042466e-01	1.343396e-01
2.567214285714626e-03	-7.098312e-01	1.410212e-01
2.578785714286056e-03	-7.114528e-01	1.474701e-01
2.590357142857486e-03	-7.091112e-01	1.536865e-01
2.601928571428916e-03	-7.028067e-01	1.596702e-01
2.613500000000346e-03	-6.925390e-01	1.654213e-01
2.628214285714634e-03	-6.733247e-01	1.722310e-01
2.642928571428921e-03	-6.491350e-01	1.783124e-01
2.657642857143209e-03	-6.199699e-01	1.836653e-01
2.672357142857497e-03	-5.858293e-01	1.882898e-01
2.687071428571784e-03	-5.467134e-01	1.921859e-01
2.701785714286072e-03	-5.026220e-01	1.953536e-01
2.716500000000360e-03	-4.535552e-01	1.977929e-01
2.726357142857504e-03	-4.189636e-01	1.988999e-01
2.736214285714648e-03	-3.833469e-01	1.996250e-01
2.746071428571792e-03	-3.467050e-01	1.999683e-01
2.755928571428936e-03	-3.090380e-01	1.999297e-01
2.765785714286081e-03	-2.703459e-01	1.995092e-01
2.775642857143224e-03	-2.306287e-01	1.987069e-01
2.785500000000369e-03	-1.898863e-01	1.975227e-01
2.789785714286084e-03	-1.721582e-01	1.968902e-01
2.794071428571799e-03	-1.543882e-01	1.961890e-01
2.798357142857514e-03	-1.365762e-01	1.954189e-01
2.802642857143228e-03	-1.187223e-01	1.945800e-01
2.806928571428943e-03	-1.008264e-01	1.936722e-01
2.811214285714658e-03	-8.288850e-02	1.926957e-01
2.815500000000373e-03	-6.490866e-02	1.916502e-01
2.819500000000373e-03	-4.813533e-02	1.906142e-01
2.823500000000374e-03	-3.140011e-02	1.895227e-01
2.827500000000374e-03	-1.470299e-02	1.883758e-01
2.831500000000375e-03	1.956030e-03	1.871735e-01
2.835500000000375e-03	1.857695e-02	1.859158e-01
2.839500000000376e-03	3.515976e-02	1.846027e-01
2.843500000000377e-03	5.170447e-02	1.832341e-01
2.852357142857521e-03	8.824231e-02	1.799928e-01
2.861214285714665e-03	1.240917e-01	1.765326e-01
2.870071428571809e-03	1.592526e-01	1.728535e-01
2.878928571428953e-03	1.937251e-01	1.689555e-01
2.887785714286097e-03	2.275092e-01	1.648386e-01
2.896642857143241e-03	2.606048e-01	1.605029e-01
2.905500000000385e-03	2.930120e-01	1.559482e-01
2.915785714286100e-03	3.293805e-01	1.504166e-01
