Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,2e-07,,,Sample Interval,2e-07
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,0.01,,Probe Attenuation,1
Vertical Units,V,A,,Vertical Units,W
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,0.01,,Vertical Scale,0.2
Vertical Position,-0.02,-0.02,,Vertical Position,-0.0961381
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1*CH2>"
-9.7300e-04,2.40391,-0.0200594,,-9.7300e-04,-0.0482724
-9.7280e-04,2.39109,-0.0201016,,-9.7280e-04,-0.0482411
-9.7260e-04,2.40234,-0.0200531,,-9.7260e-04,-0.0481786
-9.7240e-04,2.40469,-0.0200328,,-9.7240e-04,-0.0483036
-9.7220e-04,2.39766,-0.0200359,,-9.7220e-04,-0.0483036
-9.7200e-04,2.39969,-0.0201188,,-9.7200e-04,-0.0483036
-9.7180e-04,2.39531,-0.0200625,,-9.7180e-04,-0.0483036
-9.7160e-04,2.39734,-0.0200531,,-9.7160e-04,-0.0480224
-9.7140e-04,2.40328,-0.0201,,-9.7140e-04,-0.0482724
-9.7120e-04,2.40125,-0.0200703,,-9.7120e-04,-0.0479911
-9.7100e-04,2.39875,-0.0201172,,-9.7100e-04,-0.0481474
-9.7080e-04,2.4025,-0.0201422,,-9.7080e-04,-0.0480224
-9.7060e-04,2.39172,-0.0200984,,-9.7060e-04,-0.0481474
-9.7040e-04,2.39938,-0.0200969,,-9.7040e-04,-0.0479599
-9.7020e-04,2.38984,-0.0201297,,-9.7020e-04,-0.0480849
-9.7000e-04,2.40734,-0.0201281,,-9.7000e-04,-0.0480849
-9.6980e-04,2.39438,-0.0201172,,-9.6980e-04,-0.0483036
-9.6960e-04,2.39672,-0.0201281,,-9.6960e-04,-0.0481474
-9.6940e-04,2.39359,-0.0200969,,-9.6940e-04,-0.0481474
-9.6920e-04,2.39656,-0.0200953,,-9.6920e-04,-0.0480536
-9.6900e-04,2.39156,-0.0200281,,-9.6900e-04,-0.0481161
-9.6880e-04,2.38766,-0.0200641,,-9.6880e-04,-0.0481474
-9.6860e-04,2.39688,-0.0200938,,-9.6860e-04,-0.0481474
-9.6840e-04,2.39484,-0.0201031,,-9.6840e-04,-0.0481161
-9.6820e-04,2.39578,-0.0201391,,-9.6820e-04,-0.0481786
-9.6800e-04,2.39406,-0.0200922,,-9.6800e-04,-0.0482411
-9.6780e-04,2.38781,-0.0200734,,-9.6780e-04,-0.0480536
-9.6760e-04,2.39047,-0.0200938,,-9.6760e-04,-0.0479911
-9.6740e-04,2.38734,-0.0201188,,-9.6740e-04,-0.0481161
-9.6720e-04,2.39016,-0.0201156,,-9.6720e-04,-0.0480224
-9.6700e-04,2.38781,-0.0200375,,-9.6700e-04,-0.0482724
-9.6680e-04,2.38547,-0.0200406,,-9.6680e-04,-0.0480849
-9.6660e-04,2.39469,-0.0200984,,-9.6660e-04,-0.0479911
-9.6640e-04,2.40422,-0.0200641,,-9.6640e-04,-0.0479599
-9.6620e-04,2.3925,-0.0201031,,-9.6620e-04,-0.0482099
-9.6600e-04,2.3925,-0.0200859,,-9.6600e-04,-0.0481161
-9.6580e-04,2.39516,-0.0200531,,-9.6580e-04,-0.0483036
-9.6560e-04,2.3975,-0.0200594,,-9.6560e-04,-0.0480224
-9.6540e-04,2.39688,-0.0201406,,-9.6540e-04,-0.0482411
-9.6520e-04,2.39,-0.0201328,,-9.6520e-04,-0.0480536
-9.6500e-04,2.39828,-0.0201406,,-9.6500e-04,-0.0480849
-9.6480e-04,2.39438,-0.0200031,,-9.6480e-04,-0.0480536
-9.6460e-04,2.39625,-0.0200531,,-9.6460e-04,-0.0479599
-9.6440e-04,2.3975,-0.0200438,,-9.6440e-04,-0.0480849
-9.6420e-04,2.39375,-0.0200578,,-9.6420e-04,-0.0478661
-9.6400e-04,2.38531,-0.0201234,,-9.6400e-04,-0.0481161
-9.6380e-04,2.39516,-0.0201047,,-9.6380e-04,-0.0480849
-9.6360e-04,2.39859,-0.0200922,,-9.6360e-04,-0.0482411
-9.6340e-04,2.39781,-0.0201234,,-9.6340e-04,-0.0482411
-9.6320e-04,2.40703,-0.0201047,,-9.6320e-04,-0.0478661
-9.6300e-04,2.38484,-0.0200422,,-9.6300e-04,-0.0481161
-9.6280e-04,2.39828,-0.0200781,,-9.6280e-04,-0.0479599
-9.6260e-04,2.39172,-0.0200766,,-9.6260e-04,-0.0481786
-9.6240e-04,2.38563,-0.0200531,,-9.6240e-04,-0.0480536
-9.6220e-04,2.39797,-0.0200484,,-9.6220e-04,-0.0481786
-9.6200e-04,2.39484,-0.0200594,,-9.6200e-04,-0.0481786
-9.6180e-04,2.39047,-0.0200547,,-9.6180e-04,-0.0478974
-9.6160e-04,2.39656,-0.0200453,,-9.6160e-04,-0.0478349
-9.6140e-04,2.4,-0.0200703,,-9.6140e-04,-0.0479286
-9.6120e-04,2.38922,-0.0200781,,-9.6120e-04,-0.0481474
-9.6100e-04,2.39141,-0.0200375,,-9.6100e-04,-0.0481474
-9.6080e-04,2.39031,-0.0200703,,-9.6080e-04,-0.0480849
-9.6060e-04,2.39328,-0.0201063,,-9.6060e-04,-0.0479599
-9.6040e-04,2.39094,-0.0199844,,-9.6040e-04,-0.0482724
-9.6020e-04,2.38625,-0.0201141,,-9.6020e-04,-0.0481786
-9.6000e-04,2.39266,-0.0200594,,-9.6000e-04,-0.0483036
-9.5980e-04,2.38547,-0.0200828,,-9.5980e-04,-0.0478661
-9.5960e-04,2.39703,-0.0199625,,-9.5960e-04,-0.0480849
-9.5940e-04,2.39219,-0.0199859,,-9.5940e-04,-0.0478661
-9.5920e-04,2.40094,-0.0200438,,-9.5920e-04,-0.0479286
-9.5900e-04,2.39828,-0.0200531,,-9.5900e-04,-0.0479911
-9.5880e-04,2.39328,-0.0200859,,-9.5880e-04,-0.0477411
-9.5860e-04,2.40125,-0.0200188,,-9.5860e-04,-0.0480849
-9.5840e-04,2.39047,-0.0200797,,-9.5840e-04,-0.0480536
-9.5820e-04,2.39609,-0.0200578,,-9.5820e-04,-0.0481786
-9.5800e-04,2.39625,-0.0200266,,-9.5800e-04,-0.0481786
-9.5780e-04,2.38875,-0.0200641,,-9.5780e-04,-0.0478974
-9.5760e-04,2.39234,-0.0200578,,-9.5760e-04,-0.0481474
-9.5740e-04,2.39578,-0.0200984,,-9.5740e-04,-0.0480536
-9.5720e-04,2.38594,-0.0200484,,-9.5720e-04,-0.0478974
-9.5700e-04,2.3925,-0.0200656,,-9.5700e-04,-0.0479599
-9.5680e-04,2.39016,-0.0200703,,-9.5680e-04,-0.0481161
-9.5660e-04,2.39531,-0.0200203,,-9.5660e-04,-0.0479286
-9.5640e-04,2.38563,-0.0200953,,-9.5640e-04,-0.0480224
-9.5620e-04,2.38984,-0.0201141,,-9.5620e-04,-0.0478349
-9.5600e-04,2.39156,-0.0200219,,-9.5600e-04,-0.0480224
-9.5580e-04,2.39797,-0.0200688,,-9.5580e-04,-0.0482411
-9.5560e-04,2.40172,-0.0200125,,-9.5560e-04,-0.0478661
-9.5540e-04,2.3875,-0.0201375,,-9.5540e-04,-0.0480224
-9.5520e-04,2.3975,-0.0201172,,-9.5520e-04,-0.0480849
-9.5500e-04,2.38813,-0.0200219,,-9.5500e-04,-0.0481474
-9.5480e-04,2.39688,-0.0200984,,-9.5480e-04,-0.0481161
-9.5460e-04,2.38734,-0.0200547,,-9.5460e-04,-0.0480224
-9.5440e-04,2.40156,-0.0200313,,-9.5440e-04,-0.0480849
-9.5420e-04,2.39219,-0.0201109,,-9.5420e-04,-0.0480224
-9.5400e-04,2.38719,-0.020125,,-9.5400e-04,-0.0477724
-9.5380e-04,2.38016,-0.0200297,,-9.5380e-04,-0.0478036
-9.5360e-04,2.38734,-0.0200906,,-9.5360e-04,-0.0479911
-9.5340e-04,2.38813,-0.0200406,,-9.5340e-04,-0.0480849
-9.5320e-04,2.39359,-0.0200969,,-9.5320e-04,-0.0480536
-9.5300e-04,2.38797,-0.0200281,,-9.5300e-04,-0.0479286
-9.5280e-04,2.38703,-0.0200422,,-9.5280e-04,-0.0478661
-9.5260e-04,2.38984,-0.0200547,,-9.5260e-04,-0.0480224
-9.5240e-04,2.38703,-0.0201109,,-9.5240e-04,-0.0481786
-9.5220e-04,2.39203,-0.0201219,,-9.5220e-04,-0.0478661
-9.5200e-04,2.37969,-0.0201188,,-9.5200e-04,-0.0478661
-9.5180e-04,2.38844,-0.0201,,-9.5180e-04,-0.0478036
-9.5160e-04,2.39297,-0.0200063,,-9.5160e-04,-0.0478036
-9.5140e-04,2.37953,-0.0200219,,-9.5140e-04,-0.0481161
-9.5120e-04,2.39109,-0.0200547,,-9.5120e-04,-0.0478974
-9.5100e-04,2.39328,-0.0200953,,-9.5100e-04,-0.0479286
-9.5080e-04,2.39328,-0.0200594,,-9.5080e-04,-0.0482099
-9.5060e-04,2.38703,-0.0200922,,-9.5060e-04,-0.0478661
-9.5040e-04,2.39531,-0.0200484,,-9.5040e-04,-0.0478036
-9.5020e-04,2.39234,-0.0200438,,-9.5020e-04,-0.0478349
-9.5000e-04,2.38422,-0.0201469,,-9.5000e-04,-0.0481161
-9.4980e-04,2.39531,-0.0200688,,-9.4980e-04,-0.0480849
-9.4960e-04,2.39656,-0.0200484,,-9.4960e-04,-0.0478661
-9.4940e-04,2.39047,-0.0200703,,-9.4940e-04,-0.0479599
-9.4920e-04,2.38391,-0.0200625,,-9.4920e-04,-0.0478974
-9.4900e-04,2.38828,-0.0200328,,-9.4900e-04,-0.0480849
-9.4880e-04,2.39359,-0.0201109,,-9.4880e-04,-0.0479599
-9.4860e-04,2.38687,-0.0200344,,-9.4860e-04,-0.0480224
-9.4840e-04,2.39203,-0.02005,,-9.4840e-04,-0.0478974
-9.4820e-04,2.38813,-0.0200469,,-9.4820e-04,-0.0481786
-9.4800e-04,2.39625,-0.0200031,,-9.4800e-04,-0.0477724
-9.4780e-04,2.38891,-0.0200484,,-9.4780e-04,-0.0478974
-9.4760e-04,2.39531,-0.0200516,,-9.4760e-04,-0.0476786
-9.4740e-04,2.38359,-0.0200297,,-9.4740e-04,-0.0481161
-9.4720e-04,2.39813,-0.0200172,,-9.4720e-04,-0.0480224
-9.4700e-04,2.39813,-0.0200578,,-9.4700e-04,-0.0478974
-9.4680e-04,2.39219,-0.0200563,,-9.4680e-04,-0.0481161
-9.4660e-04,2.38922,-0.0200625,,-9.4660e-04,-0.0478661
-9.4640e-04,2.38313,-0.0199641,,-9.4640e-04,-0.0478349
-9.4620e-04,2.38578,-0.0199563,,-9.4620e-04,-0.0481161
-9.4600e-04,2.38797,-0.0200297,,-9.4600e-04,-0.0479599
-9.4580e-04,2.39109,-0.0200219,,-9.4580e-04,-0.0478349
-9.4560e-04,2.38984,-0.0199953,,-9.4560e-04,-0.0480849
-9.4540e-04,2.38484,-0.0200422,,-9.4540e-04,-0.0476786
-9.4520e-04,2.38219,-0.0200469,,-9.4520e-04,-0.0477411
-9.4500e-04,2.38938,-0.0200688,,-9.4500e-04,-0.0478974
-9.4480e-04,2.39422,-0.0200328,,-9.4480e-04,-0.0480849
-9.4460e-04,2.39469,-0.0200203,,-9.4460e-04,-0.0479286
-9.4440e-04,2.38859,-0.0201172,,-9.4440e-04,-0.0479599
-9.4420e-04,2.39219,-0.0200828,,-9.4420e-04,-0.0479911
-9.4400e-04,2.38094,-0.0200688,,-9.4400e-04,-0.0478974
-9.4380e-04,2.39625,-0.0199859,,-9.4380e-04,-0.0481161
-9.4360e-04,2.38984,-0.0200391,,-9.4360e-04,-0.0479286
-9.4340e-04,2.39297,-0.0201016,,-9.4340e-04,-0.0480849
-9.4320e-04,2.38969,-0.0201219,,-9.4320e-04,-0.0478349
-9.4300e-04,2.38672,-0.0199406,,-9.4300e-04,-0.0480224
-9.4280e-04,2.38453,-0.0200219,,-9.4280e-04,-0.0479911
-9.4260e-04,2.38547,-0.020025,,-9.4260e-04,-0.0481161
-9.4240e-04,2.38969,-0.0200672,,-9.4240e-04,-0.0480224
-9.4220e-04,2.38969,-0.0200016,,-9.4220e-04,-0.0479599
-9.4200e-04,2.39344,-0.0200156,,-9.4200e-04,-0.0479286
-9.4180e-04,2.395,-0.0200609,,-9.4180e-04,-0.0478974
-9.4160e-04,2.38125,-0.0201094,,-9.4160e-04,-0.0478036
-9.4140e-04,2.37906,-0.0199531,,-9.4140e-04,-0.0477411
-9.4120e-04,2.38875,-0.0200453,,-9.4120e-04,-0.0477724
-9.4100e-04,2.38078,-0.0200141,,-9.4100e-04,-0.0479911
-9.4080e-04,2.39516,-0.0200188,,-9.4080e-04,-0.0478036
-9.4060e-04,2.39406,-0.0200406,,-9.4060e-04,-0.0479599
-9.4040e-04,2.38813,-0.0200625,,-9.4040e-04,-0.0478349
-9.4020e-04,2.38797,-0.0200438,,-9.4020e-04,-0.0478661
-9.4000e-04,2.38891,-0.0200297,,-9.4000e-04,-0.0478661
-9.3980e-04,2.38703,-0.0200344,,-9.3980e-04,-0.0477099
-9.3960e-04,2.39344,-0.0200203,,-9.3960e-04,-0.0478036
-9.3940e-04,2.39047,-0.0200313,,-9.3940e-04,-0.0478349
-9.3920e-04,2.38703,-0.0200469,,-9.3920e-04,-0.0476786
-9.3900e-04,2.38656,-0.0200938,,-9.3900e-04,-0.0478661
