uin1	V(uout1)	V(uout2)	abs(D(V(uout1)-V(uout2))/D(uin1))
5.700000000000018e-02	1.099525e+00	8.914515e+00	7.393533e+01
5.800000000000018e-02	1.062627e+00	8.950506e+00	7.186151e+01
5.900000000000018e-02	1.026754e+00	8.985467e+00	6.982610e+01
6.000000000000018e-02	9.918862e-01	9.019418e+00	6.782934e+01
6.100000000000018e-02	9.580056e-01	9.052378e+00	6.587109e+01
6.200000000000018e-02	9.250921e-01	9.084366e+00	6.395257e+01
6.300000000000018e-02	8.931260e-01	9.115403e+00	6.207389e+01
6.400000000000018e-02	8.620872e-01	9.145509e+00	6.023473e+01
6.500000000000018e-02	8.319560e-01	9.174703e+00	5.843616e+01
6.600000000000018e-02	8.027120e-01	9.203006e+00	5.667824e+01
6.700000000000018e-02	7.743351e-01	9.230438e+00	5.496052e+01
6.800000000000019e-02	7.468051e-01	9.257020e+00	5.328292e+01
6.900000000000019e-02	7.201021e-01	9.282771e+00	5.164585e+01
7.000000000000019e-02	6.942060e-01	9.307713e+00	5.004838e+01
7.100000000000019e-02	6.690967e-01	9.331862e+00	4.849079e+01
7.200000000000019e-02	6.447546e-01	9.355243e+00	4.697341e+01
7.300000000000019e-02	6.211599e-01	9.377872e+00	4.549468e+01
7.400000000000019e-02	5.982932e-01	9.399771e+00	4.405484e+01
7.500000000000019e-02	5.761353e-01	9.420958e+00	4.265371e+01
7.600000000000019e-02	5.546671e-01	9.441452e+00	4.129013e+01
7.700000000000019e-02	5.338697e-01	9.461272e+00	3.996378e+01
7.800000000000019e-02	5.137248e-01	9.480437e+00	3.867492e+01
7.900000000000020e-02	4.942139e-01	9.498966e+00	3.742233e+01
8.000000000000020e-02	4.753191e-01	9.516876e+00	3.620471e+01
8.100000000000020e-02	4.570227e-01	9.534184e+00	3.502275e+01
8.200000000000020e-02	4.393074e-01	9.550910e+00	3.387563e+01
8.300000000000020e-02	4.221560e-01	9.567069e+00	3.276211e+01
8.400000000000020e-02	4.055519e-01	9.582679e+00	3.168185e+01
8.500000000000020e-02	3.894787e-01	9.597755e+00	3.063354e+01
8.600000000000020e-02	3.739203e-01	9.612314e+00	2.961782e+01
8.700000000000020e-02	3.588609e-01	9.626373e+00	2.863289e+01
8.800000000000020e-02	3.442853e-01	9.639945e+00	2.767843e+01
8.900000000000020e-02	3.301784e-01	9.653048e+00	2.675408e+01
9.000000000000020e-02	3.165254e-01	9.665693e+00	2.585806e+01
9.100000000000021e-02	3.033121e-01	9.677897e+00	2.499145e+01
9.200000000000021e-02	2.905245e-01	9.689675e+00	2.415201e+01
9.300000000000021e-02	2.781490e-01	9.701038e+00	2.333890e+01
9.400000000000021e-02	2.661723e-01	9.712001e+00	2.255271e+01
9.500000000000021e-02	2.545814e-01	9.722576e+00	2.179218e+01
9.600000000000021e-02	2.433637e-01	9.732777e+00	2.105649e+01
9.700000000000021e-02	2.325070e-01	9.742615e+00	2.034529e+01
9.800000000000021e-02	2.219993e-01	9.752103e+00	1.965729e+01
9.900000000000021e-02	2.118291e-01	9.761251e+00	1.899217e+01
1.000000000000002e-01	2.019851e-01	9.770073e+00	1.834960e+01
1.010000000000002e-01	1.924563e-01	9.778578e+00	1.772833e+01
1.020000000000002e-01	1.832320e-01	9.786777e+00	1.712803e+01
1.030000000000002e-01	1.743020e-01	9.794680e+00	1.654839e+01
1.040000000000002e-01	1.656563e-01	9.802298e+00	1.598863e+01
1.050000000000002e-01	1.572851e-01	9.809640e+00	1.544799e+01
1.060000000000002e-01	1.491789e-01	9.816716e+00	1.492616e+01
1.070000000000002e-01	1.413287e-01	9.823536e+00	1.442192e+01
1.080000000000002e-01	1.337256e-01	9.830107e+00	1.393499e+01
1.090000000000002e-01	1.263610e-01	9.836438e+00	1.346556e+01
1.100000000000002e-01	1.192266e-01	9.842539e+00	1.301242e+01
1.110000000000002e-01	1.123143e-01	9.848416e+00	1.257485e+01
1.120000000000002e-01	1.056164e-01	9.854078e+00	1.215257e+01
1.130000000000002e-01	9.912521e-02	9.859532e+00	1.174582e+01
1.140000000000002e-01	9.283353e-02	9.864787e+00	1.135293e+01
1.150000000000002e-01	8.673429e-02	9.869847e+00	1.097414e+01
1.160000000000002e-01	8.082063e-02	9.874722e+00	1.060923e+01
1.170000000000002e-01	7.508595e-02	9.879417e+00	1.025654e+01
1.180000000000002e-01	6.952386e-02	9.883939e+00	9.916808e+00
1.190000000000002e-01	6.412818e-02	9.888293e+00	9.589348e+00
1.200000000000002e-01	5.889294e-02	9.892487e+00	9.273956e+00
1.210000000000002e-01	5.381238e-02	9.896525e+00	8.969484e+00
1.220000000000002e-01	4.888092e-02	9.900414e+00	8.675734e+00
1.230000000000002e-01	4.409317e-02	9.904158e+00	8.392995e+00
1.240000000000002e-01	3.944394e-02	9.907763e+00	8.120138e+00
1.250000000000002e-01	3.492820e-02	9.911233e+00	7.857940e+00
1.260000000000002e-01	3.054111e-02	9.914576e+00	7.604797e+00
1.270000000000002e-01	2.627798e-02	9.917792e+00	7.360544e+00
1.280000000000002e-01	2.213430e-02	9.920890e+00	7.125976e+00
1.290000000000002e-01	1.810570e-02	9.923872e+00	6.899509e+00
1.300000000000002e-01	1.418798e-02	9.926743e+00	6.680990e+00
1.310000000000002e-01	1.037708e-02	9.929505e+00	6.470751e+00
1.320000000000002e-01	6.669070e-03	9.932165e+00	6.268653e+00
1.330000000000002e-01	3.060183e-03	9.934726e+00	6.073604e+00
1.340000000000002e-01	-4.532283e-04	9.937190e+00	5.885951e+00
1.350000000000002e-01	-3.874681e-03	9.939563e+00	5.705088e+00
1.360000000000002e-01	-7.207567e-03	9.941846e+00	5.530894e+00
1.370000000000002e-01	-1.045515e-02	9.944044e+00	5.363247e+00
1.380000000000002e-01	-1.362059e-02	9.946159e+00	5.201081e+00
1.390000000000002e-01	-1.670692e-02	9.948195e+00	5.045714e+00
1.400000000000002e-01	-1.971708e-02	9.950154e+00	4.896084e+00
1.410000000000002e-01	-2.265388e-02	9.952040e+00	4.751612e+00
1.420000000000002e-01	-2.552005e-02	9.953855e+00	4.612674e+00
1.430000000000002e-01	-2.831821e-02	9.955601e+00	4.479171e+00
1.440000000000002e-01	-3.105088e-02	9.957282e+00	4.350535e+00
1.450000000000002e-01	-3.372052e-02	9.958899e+00	4.226198e+00
1.460000000000002e-01	-3.632945e-02	9.960456e+00	4.106551e+00
1.470000000000002e-01	-3.887995e-02	9.961953e+00	3.991984e+00
1.480000000000002e-01	-4.137420e-02	9.963395e+00	3.881464e+00
1.490000000000002e-01	-4.381428e-02	9.964782e+00	3.774911e+00
1.500000000000000e-01	-4.620223e-02	9.966117e+00	3.723092e+00
