time	V(n002)	V(n003)
4.686789157573618e-03	-6.999794e-01	-7.146749e-02
4.706320407573618e-03	-7.321723e-01	-7.459958e-02
4.725851657573618e-03	-7.531883e-01	-7.660963e-02
4.745382907573617e-03	-7.627112e-01	-7.746739e-02
4.764914157573617e-03	-7.605980e-01	-7.715998e-02
4.784445407573616e-03	-7.468806e-01	-7.569200e-02
4.803976657573616e-03	-7.217654e-01	-7.308555e-02
4.823507907573616e-03	-6.856302e-01	-6.937982e-02
4.843039157573615e-03	-6.390187e-01	-6.463056e-02
4.862570407573615e-03	-5.826319e-01	-5.890919e-02
4.882101657573614e-03	-5.173179e-01	-5.230177e-02
4.901632907573614e-03	-4.440590e-01	-4.490769e-02
4.921164157573613e-03	-3.639571e-01	-3.683815e-02
4.940695407573613e-03	-2.782167e-01	-2.821453e-02
4.960226657573613e-03	-1.881273e-01	-1.916654e-02
4.979757907573612e-03	-9.504393e-02	-9.830271e-03
4.999289157573612e-03	-3.663970e-04	-3.461413e-04
5.018820407573611e-03	9.448125e-02	9.143194e-03
5.038351657573611e-03	1.880724e-01	1.849501e-02
5.057882907573611e-03	2.789993e-01	2.756864e-02
5.077414157573610e-03	3.658941e-01	3.622761e-02
5.096945407573610e-03	4.474497e-01	4.434169e-02
5.116476657573609e-03	5.224394e-01	5.178883e-02
5.136007907573609e-03	5.897350e-01	5.845701e-02
5.155539157573608e-03	6.483244e-01	6.424595e-02
5.175070407573608e-03	6.973262e-01	6.906857e-02
5.194601657573608e-03	7.360033e-01	7.285233e-02
5.214132907573607e-03	7.637743e-01	7.554032e-02
5.233664157573607e-03	7.802212e-01	7.709212e-02
5.253195407573606e-03	7.850971e-01	7.748438e-02
5.272726657573606e-03	7.783284e-01	7.671121e-02
5.292257907573606e-03	7.600174e-01	7.478422e-02
5.311789157573605e-03	7.304394e-01	7.173241e-02
5.331320407573605e-03	6.900393e-01	6.760168e-02
5.350851657573604e-03	6.394250e-01	6.245416e-02
5.370382907573604e-03	5.793577e-01	5.636727e-02
5.389914157573603e-03	5.107408e-01	4.943256e-02
5.409445407573603e-03	4.346064e-01	4.175434e-02
5.428976657573603e-03	3.520994e-01	3.344810e-02
5.448507907573602e-03	2.644606e-01	2.463876e-02
5.468039157573602e-03	1.730081e-01	1.545884e-02
5.487570407573601e-03	7.911734e-02	6.046400e-03
5.516867282573601e-03	-6.319686e-02	-8.198104e-03
5.536398532573600e-03	-1.569774e-01	-1.757005e-02
5.555929782573600e-03	-2.482330e-01	-2.667773e-02
5.575461032573600e-03	-3.355910e-01	-3.538414e-02
5.594992282573599e-03	-4.177372e-01	-4.355836e-02
